Epoch 113/300 | avg loss: 0.055881                                                                                                                                                                                                                                             
Epoch 114/300 | avg loss: 0.056246                                                                                                                                                                                                                                             
Epoch 115/300 | avg loss: 0.055483                                                                                                                                                                                                                                             
Epoch 116/300 | avg loss: 0.055452                                                                                                                                                                                                                                             
Epoch 117/300 | avg loss: 0.055659                                                                                                                                                                                                                                             
Epoch 118/300 | avg loss: 0.055822                                                                                                                                                                                                                                             
Epoch 119/300 | avg loss: 0.055791                                                                                                                                                                                                                                             
Epoch 120/300 | avg loss: 0.056263                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0120.pt
Epoch 121/300 | avg loss: 0.055953                                                                                                                                                                                                                                             
Epoch 122/300 | avg loss: 0.055768                                                                                                                                                                                                                                             
Epoch 123/300 | avg loss: 0.055658                                                                                                                                                                                                                                             
Epoch 124/300 | avg loss: 0.055674                                                                                                                                                                                                                                             
Epoch 125/300 | avg loss: 0.055670                                                                                                                                                                                                                                             
Epoch 126/300 | avg loss: 0.055770                                                                                                                                                                                                                                             
Epoch 127/300 | avg loss: 0.055664                                                                                                                                                                                                                                             
Epoch 128/300 | avg loss: 0.056163                                                                                                                                                                                                                                             
Epoch 129/300 | avg loss: 0.055991                                                                                                                                                                                                                                             
Epoch 130/300 | avg loss: 0.055337                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0130.pt
Epoch 131/300 | avg loss: 0.056151                                                                                                                                                                                                                                             
Epoch 132/300 | avg loss: 0.055608                                                                                                                                                                                                                                             
Epoch 133/300 | avg loss: 0.055995                                                                                                                                                                                                                                             
Epoch 134/300 | avg loss: 0.055326                                                                                                                                                                                                                                             
Epoch 135/300 | avg loss: 0.055365                                                                                                                                                                                                                                             
Epoch 136/300 | avg loss: 0.055821                                                                                                                                                                                                                                             
Epoch 137/300 | avg loss: 0.055325                                                                                                                                                                                                                                             
Epoch 138/300 | avg loss: 0.055268                                                                                                                                                                                                                                             
Epoch 139/300 | avg loss: 0.055480                                                                                                                                                                                                                                             
Epoch 140/300 | avg loss: 0.055364                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0140.pt
Epoch 141/300 | avg loss: 0.055407                                                                                                                                                                                                                                             
Epoch 142/300 | avg loss: 0.055153                                                                                                                                                                                                                                             
Epoch 143/300 | avg loss: 0.055684                                                                                                                                                                                                                                             
Epoch 144/300 | avg loss: 0.055739                                                                                                                                                                                                                                             
Epoch 145/300 | avg loss: 0.055085                                                                                                                                                                                                                                             
Epoch 146/300 | avg loss: 0.055455                                                                                                                                                                                                                                             
Epoch 147/300 | avg loss: 0.055419                                                                                                                                                                                                                                             
Epoch 148/300 | avg loss: 0.054938                                                                                                                                                                                                                                             
Epoch 149/300 | avg loss: 0.055459                                                                                                                                                                                                                                             
Epoch 150/300 | avg loss: 0.056069                                                                                                                                                                                                                                             
  → saved ./outputs\20260615_234944\checkpoints\checkpoint_epoch_0150.pt
Epoch 151/300 | avg loss: 0.055563                                                                                                                                                                                                                                             
Epoch 152/300 | avg loss: 0.055277                                                                                                                                                                                                                                             
Epoch 153/300 | avg loss: 0.055785                                                                                                                                                                                                                                             
Epoch 154/300 | avg loss: 0.054962                                                                                                                                                                                                                                             
Epoch 155/300 | avg loss: 0.055599                                                                                                                                                                                                                                             
Epoch 156/300 | avg loss: 0.055211                                                                                                                                                                                                                                             
Epoch 157/300 | avg loss: 0.055564                                                                                                                                                                                                                                             
Epoch 158/300 | avg loss: 0.055174                                                                                                                                                                                                                                             
